  Table : gident_346.tfits 
 Sequence  CENTER       INT        FWHM       FLUX      
      300  3640.508057    3.22826    0.07540    0.30430
      301  3641.270996    3.56803    0.10479    0.30905
      302  3641.531982    4.44404    0.08667    0.40235
      303  3641.852783    4.23816    0.08696    0.34961
      304  3642.589355    4.17878    0.07583    0.37788
      305  3643.275391    3.86506    0.11895    0.35058
      306  3645.497559    2.93888    0.06883    0.26272
      307  3645.632812    3.60697    0.09203    0.32336
      308  3649.052246    3.31226    0.06287    0.31036
      309  3649.333984    3.08636    0.07558    0.27381
      310  3649.670898    3.32402    0.06457    0.28751
      311  3664.797119    3.14382    0.09904    0.26297
      312  3668.099854    2.50515    0.07012    0.23682
      313  3669.813721    3.45042    0.09385    0.32329
      314  3673.405273    2.77867    0.06644    0.27136
      315  3676.075439    2.71278    0.12761    0.25545
      316  3697.850586    3.43226    0.07307    0.33670
      317  3698.104492    4.06539    0.07224    0.41388
      318  3698.498291    3.55814    0.12351    0.36607
      319  3699.080811    3.55157    0.05800    0.36100
      320  3699.614746    2.64609    0.13999    0.25693
      321  3699.812256    3.30830    0.08351    0.32799
      322  3700.409668    2.93050    0.10038    0.29774
      323  3700.689453    3.35202    0.08332    0.33606
      324  3701.367676    3.48173    0.08322    0.35867
      325  3701.727783    3.49239    0.10193    0.36047
      326  3702.458008    3.59419    0.07769    0.36683
      327  3702.932617    3.04907    0.07013    0.30585
      328  3703.725342    3.37260    0.09831    0.33843
      329  3704.284424    2.76108    0.12171    0.29021
      330  3705.152832    3.72176    0.08714    0.36851
      331  3705.810059    2.62353    0.05563    0.26120
      332  3706.727295    3.58807    0.08702    0.35098
      333  3707.495117    2.76411    0.09923    0.26158
      334  3708.470215    3.49801    0.09446    0.34488
      335  3709.337402    2.51294    0.07826    0.24775
      336  3710.380371    3.72193    0.07101    0.38816
      337  3711.167236    1.96705    0.08073    0.20505
      338  3711.347412    2.45561    0.08217    0.21028
      339  3714.679443    3.05054    0.10212    0.31559
      340  3717.041748    2.77722    0.08323    0.27762
      341  3719.601318    2.85642    0.06589    0.26123
      342  3722.327393    3.12693    0.08935    0.34229
      343  3728.262207    2.61124    0.10882    0.28682
      344  3731.359375    2.67481    0.10610    0.29524
      345  3731.643799    3.00661    0.09766    0.30172
      346  3733.150635    3.55637    0.07641    0.38552
      347  3733.580811    3.04008    0.07580    0.33803
      348  3734.018311    2.27963    0.10236    0.25181
      349  3734.212158    2.50964    0.23125    0.24960
      350  3734.536377    3.11714    0.11223    0.33139
      351  3734.811279    3.49820    0.09215    0.37048
      352  3735.051270    2.33038    0.07347    0.24150
      353  3735.710938    2.49512    0.07264    0.26132
      354  3736.367432    3.40919    0.06374    0.36023
      355  3736.984375    3.09295    0.15566    0.34395
      356  3737.623291    2.72045    0.10159    0.26911
      357  3737.804932    2.18315    0.14413    0.25432
      358  3738.087891    2.49509    0.08557    0.27284
      359  3738.523682    2.80270    0.15377    0.33740
      360  3738.825195    2.06495    0.10355    0.21505
      361  3739.098389    3.42738    0.19422    0.38236
      362  3739.310303    3.65124    0.11774    0.39255
      363  3739.613281    3.73966    0.18739    0.42977
      364  3739.777100    3.21601    0.08633    0.35078
      365  3739.886475    1.87462    0.04843    0.18895
      366  3741.070801    4.09898    0.11279    0.45759
      367  3741.628906    4.21676    0.07539    0.51674
      368  3743.527344    4.05194    0.17846    0.35303
      369  3743.796875    2.75295    0.10755    0.28020
      370  3744.058838    4.42935    0.11257    0.52722
      371  3746.500977    3.82734    0.12549    0.49254
      372  3746.779541    2.39480    0.08830    0.31044
      373  3747.068848    4.25022    0.07468    0.51878
      374  3750.347168    2.72396    0.13565    0.28914
      375  3750.661865    3.32241    0.06831    0.35975
      376  3754.195557    2.84285    0.07245    0.31992
      377  3754.495361    2.43424    0.08059    0.25548
      378  3754.834717    4.17095    0.10048    0.48224
      379  3757.794434    1.79439    0.08266    0.19211
      380  3758.221680    1.50737    0.09349    0.16627
      381  3758.943115    2.61483    0.08992    0.29971
      382  3759.093262    1.63034    0.04973    0.17018
      383  3759.233154    2.09255    0.09157    0.21782
      384  3759.577881    2.16667    0.08249    0.23833
      385  3764.253174    2.15543    0.08727    0.23573
      386  3775.217041    4.29578    0.05528    0.57181
      387  3777.587646    2.54681    0.06716    0.27950
      388  3778.167725    3.13637    0.12632    0.31552
      389  3780.536621    2.54850    0.05382    0.33587
      390  3780.927490    2.34793    0.09456    0.28626
      391  3781.496826    2.51540    0.09121    0.29824
      392  3783.906982    1.99809    0.10275    0.22866
      393  3785.459229    2.51419    0.09165    0.29134
      394  3786.961914    1.89707    0.12257    0.22932
