    ra          dec
319.9356250  21.8737560
319.9356480  21.8690480
319.9357780  21.8447390
319.9360030  21.8489000
319.9362890  21.8489980
319.9380140  21.8851200
319.9396090  21.8737280
319.9399060  21.8382810
319.9406560  21.8554620
319.9413200  21.8993750
319.9421280  21.8681390
319.9429390  21.8768700
319.9431870  21.8654730
319.9450480  21.8533420
319.9459370  21.8655030
319.9471310  21.8891370
319.9479620  21.8731530
319.9494810  21.8607120
319.9507000  21.8441840
319.9509730  21.8451390
319.9530340  21.8838640
319.9536230  21.8389500
319.9538750  21.8330140
319.9544250  21.8376890
319.9553250  21.8775700
319.9553480  21.8937230
319.9556920  21.8733620
319.9569420  21.8339390
319.9574920  21.8884340
319.9590780  21.8376620
319.9598810  21.8872230
319.9601200  21.8840530
319.9609530  21.8806620
319.9616390  21.8870310
319.9660030  21.8933950
319.9661530  21.8684730
319.9670390  21.8511530
319.9677390  21.8578950
319.9682090  21.8756640
319.9689980  21.8790420
319.9703750  21.8523450
319.9707750  21.8602590
319.9710170  21.8413170
319.9719810  21.8993500
319.9719950  21.8868090
319.9725700  21.8599810
319.9730120  21.8337590
319.9731250  21.8610390
319.9765530  21.8376670
319.9777120  21.8950780
319.9782640  21.8670000
319.9795810  21.8932170
319.9799700  21.8963670
319.9806370  21.8816670
319.9815230  21.8451060
319.9819870  21.8520450
319.9851000  21.8714700
319.9859640  21.8860670
319.9865450  21.8857980
319.9884170  21.8966620
319.9890280  21.8566120
319.9898980  21.8878840
319.9910280  21.8552450
319.9914170  21.8674870
319.9924890  21.8776340
319.9927340  21.8803390
319.9927640  21.8903370
319.9968810  21.8751700
319.9970170  21.8831200
319.9992000  21.8640170
319.9992230  21.8457480
320.0010060  21.8903670
320.0022950  21.8553870
320.0067870  21.8507530
320.0096640  21.8915870
320.0120250  21.8544140
320.0134530  21.8675170
320.0148450  21.8959730
320.0209120  21.8743780
320.0255280  21.8769870
320.0257200  21.8939890
320.0282280  21.8893200
320.0303500  21.8766530
320.0332030  21.8821480
320.0365780  21.8953000
320.0409120  21.8953640
319.8704390  22.0044480
319.8726700  22.0059340
319.8785280  22.0083390
319.8800340  22.0072480
319.8810950  22.0062750
319.8837120  22.0101310
319.8838670  22.0065810
319.8840200  22.0126920
319.8872060  22.0006310
319.8892700  22.0148750
319.8919420  22.0167370
319.8926620  22.0133030
319.8982060  22.0170950
319.8991870  22.0148700
319.8996840  22.0181700
319.9048420  22.0202140
319.9056140  22.0058420
319.9080250  22.0214310
319.9085620  22.0109890
319.9131140  22.0066030
319.9133920  22.0044500
319.9136420  22.0185370
319.9141870  22.0122120
319.9159390  22.0181810
319.9173780  22.0095950
319.9203060  22.0047750
319.9213370  22.0250170
319.9235530  22.0202340
319.9237620  22.0228890
319.9253590  22.0172870
319.9305670  22.0120530
319.9310780  22.0138170
319.9326640  22.0233920
319.9367980  22.0125920
319.9395730  22.0080200
319.9415670  22.0218640
319.9417890  22.0239060
319.9427420  22.0148370
319.9445090  22.0257870
319.9451500  22.0286280
319.9475870  22.0032750
319.9482700  22.0154670
319.9496670  22.0084370
319.9509420  22.0007030
319.9565480  22.0060390
319.9576200  22.0052780
319.9577140  22.0106170
319.9585980  22.0098230
319.9597370  22.0128390
319.9600780  22.0089120
319.9601670  22.0161420
319.9612230  22.0163500
319.9626340  22.0175810
319.9646370  22.0047700
319.9659310  22.0079200
319.9690310  22.0224780
319.9702030  22.0125730
319.9735920  22.0158920
319.9766120  22.0223060
319.9771590  22.0050060
319.9802170  22.0135200
319.9803250  22.0168810
319.9842870  22.0136950
319.9864420  22.0151140
319.9894870  22.0106090
319.9957780  22.0109000
319.9977730  22.0134500
319.9986060  22.0024030
320.0031700  22.0092170
320.0124670  22.0013120
